date,country,yield,yield_de,spread,spread_change_1m,spread_vol_3m
2020-12-01,ES,0.039,-0.618,0.657,-0.04999999999999993,0.022722969289539457
2021-01-01,ES,0.075,-0.583,0.6579999999999999,0.0009999999999998899,0.03538832199092447
2021-02-01,ES,0.225,-0.446,0.671,0.013000000000000123,0.03345145736735567
2021-03-01,ES,0.308,-0.364,0.6719999999999999,0.0009999999999998899,0.006928203230276533
2021-04-01,ES,0.369,-0.325,0.694,0.02200000000000002,0.010535653752853352
2021-05-01,ES,0.519,-0.223,0.742,0.04800000000000004,0.023544284515214016
2021-06-01,ES,0.448,-0.288,0.736,-0.006000000000000005,0.027006172134039
2021-07-01,ES,0.331,-0.45,0.781,0.04500000000000004,0.03034798181098721
2021-08-01,ES,0.214,-0.539,0.753,-0.028000000000000025,0.0374477413649121
2021-09-01,ES,0.327,-0.363,0.69,-0.06300000000000006,0.05510293398117159
2021-10-01,ES,0.468,-0.206,0.674,-0.015999999999999903,0.024419937209856933
2021-11-01,ES,0.473,-0.312,0.7849999999999999,0.11099999999999988,0.0900129620295507
2021-12-01,ES,0.412,-0.383,0.7949999999999999,0.010000000000000009,0.06708949247087799
2022-01-01,ES,0.663,-0.115,0.778,-0.016999999999999904,0.06747098141670482
2022-02-01,ES,1.106,0.15,0.9560000000000001,0.17800000000000005,0.10565509926170152
2022-03-01,ES,1.218,0.282,0.9359999999999999,-0.02000000000000013,0.11345924378383639
2022-04-01,ES,1.685,0.745,0.9400000000000001,0.004000000000000115,0.10805554127392086
2022-05-01,ES,2.041,0.953,1.088,0.14800000000000002,0.09086253353280443
2022-06-01,ES,2.63,1.446,1.184,0.09599999999999986,0.0729200475406683
2022-07-01,ES,2.314,1.082,1.232,0.04800000000000004,0.05001333155602946
2022-08-01,ES,2.146,1.033,1.113,-0.119,0.11285536466350785
2022-09-01,ES,2.917,1.796,1.1209999999999998,0.007999999999999785,0.08719518335321058
2022-10-01,ES,3.293,2.186,1.1070000000000002,-0.013999999999999568,0.06786997372427185
2022-11-01,ES,3.065,2.066,0.9990000000000001,-0.1080000000000001,0.06161168720299765
2022-12-01,ES,3.088,2.085,1.0030000000000001,0.0040000000000000036,0.06014427099344848
2023-01-01,ES,3.204,2.192,1.012,0.008999999999999897,0.06615386106141767
2023-02-01,ES,3.385,2.37,1.0149999999999997,0.0029999999999996696,0.003214550253666225
2023-03-01,ES,3.433,2.383,1.0499999999999998,0.03500000000000014,0.0170098010962313
2023-04-01,ES,3.398,2.359,1.0390000000000001,-0.010999999999999677,0.02357965224510342
2023-05-01,ES,3.413,2.341,1.0719999999999996,0.032999999999999474,0.025999999999999912
2023-06-01,ES,3.398,2.377,1.0210000000000004,-0.05099999999999927,0.042015870017569484
2023-07-01,ES,3.49,2.457,1.0330000000000004,0.01200000000000001,0.04371498598878831
2023-08-01,ES,3.571,2.545,1.0260000000000002,-0.007000000000000117,0.032316146634976776
2023-09-01,ES,3.713,2.66,1.053,0.02699999999999969,0.017039170558842992
2023-10-01,ES,3.946,2.823,1.1230000000000002,0.07000000000000028,0.03858756276314981
2023-11-01,ES,3.646,2.602,1.044,-0.07900000000000018,0.07668767828015163
2023-12-01,ES,3.117,2.101,1.016,-0.028000000000000025,0.07572538103788837
2024-01-01,ES,3.175,2.175,1.0,-0.016000000000000014,0.033451457367355816
2024-02-01,ES,3.268,2.331,0.9369999999999998,-0.06300000000000017,0.024419937209856916
2024-03-01,ES,3.189,2.349,0.8399999999999999,-0.09699999999999998,0.04067349669420312
2024-04-01,ES,3.271,2.446,0.8249999999999997,-0.015000000000000124,0.04119870548128118
2024-05-01,ES,3.299,2.518,0.7810000000000001,-0.043999999999999595,0.04158124577258378
2024-06-01,ES,3.349,2.484,0.8650000000000002,0.08400000000000007,0.06711433031278291
2024-07-01,ES,3.275,2.458,0.8169999999999997,-0.04800000000000049,0.07508217720160595
2024-08-01,ES,3.069,2.208,0.8609999999999998,0.04400000000000004,0.06768554744798466
2024-09-01,ES,2.986,2.166,0.8200000000000003,-0.04099999999999948,0.0512152321092077
2024-10-01,ES,2.963,2.228,0.7349999999999999,-0.08500000000000041,0.06557692683660442
2024-11-01,ES,3.053,2.305,0.7479999999999998,0.0129999999999999,0.04908496035786688
2024-12-01,ES,2.886,2.178,0.7080000000000002,-0.03999999999999959,0.049054391580503405
2025-01-01,ES,3.173,2.484,0.6890000000000001,-0.019000000000000128,0.02668957349478133
2025-02-01,ES,3.1,2.405,0.6950000000000003,0.006000000000000227,0.023028967265888052
2025-03-01,ES,3.391,2.741,0.6499999999999999,-0.04500000000000037,0.02550163393458079
2025-04-01,ES,3.229,2.511,0.718,0.06800000000000006,0.056589162684504944
2025-05-01,ES,3.204,2.562,0.6420000000000003,-0.07599999999999962,0.07579138033664079
